ADM3_PCODE,Area,Y_M_0,Y_M_1,Y_M_2,Y_M_3,Y_M_4,Y_M_5,Y_M_6,Y_M_7,Y_M_8,Y_M_9,Y_M_10,Y_M_11,Y_M_12,Y_M_13,Y_M_14,Y_M_15,Y_M_16,Y_M_17,Y_M_18,Y_M_19,Y_M_20,Y_M_21,Y_M_22,Y_M_23,Y_M_24,Y_M_25,Y_M_26,Y_M_27,Y_M_28,Y_M_29,Y_F_0,Y_F_1,Y_F_2,Y_F_3,Y_F_4,Y_F_5,Y_F_6,Y_F_7,Y_F_8,Y_F_9,Y_F_10,Y_F_11,Y_F_12,Y_F_13,Y_F_14,Y_F_15,Y_F_16,Y_F_17,Y_F_18,Y_F_19,Y_F_20,Y_F_21,Y_F_22,Y_F_23,Y_F_24,Y_F_25,Y_F_26,Y_F_27,Y_F_28,Y_F_29,Y_T_0,Y_T_1,Y_T_2,Y_T_3,Y_T_4,Y_T_5,Y_T_6,Y_T_7,Y_T_8,Y_T_9,Y_T_10,Y_T_11,Y_T_12,Y_T_13,Y_T_14,Y_T_15,Y_T_16,Y_T_17,Y_T_18,Y_T_19,Y_T_20,Y_T_21,Y_T_22,Y_T_23,Y_T_24,Y_T_25,Y_T_26,Y_T_27,Y_T_28,Y_T_29
SC3615LD,982.997230512564,23.448078729304875,25.048638217426944,26.18587934213134,26.90582422592489,27.254494991314345,27.27791376080656,27.02210265690827,26.533083802126292,25.85687931896743,25.039511329938456,24.103909393900658,23.073003069715266,22.108277298116775,21.301939328903046,20.630733593644266,19.96436370521192,19.311088658350727,18.905746214377885,18.84679218767879,19.04386675382848,19.279954167085815,19.564617448282142,19.98761884642829,20.560857868683257,21.229401332056476,21.934621207362422,22.698088693594986,23.32294638237962,23.70818463099608,23.93481763619789,22.316329429885627,23.768769069544856,24.827494354434208,25.53005104727289,25.9139849107801,26.016841707675102,25.87616720067706,25.5295071525052,25.014407325878736,24.36841348351689,23.609456330412666,22.755466571559065,21.94206525830633,21.24602826882606,20.646056192658868,20.03809683364632,19.435788341987134,18.99621454300284,18.785121366727335,18.748716680592285,18.753335231459126,18.80875744131206,18.973665430188174,19.258382856577644,19.63248196392659,20.060916552281448,20.55754211974154,21.017219730645536,21.386157383203614,21.70972510375986,45.7644081591905,48.8174072869718,51.01337369656555,52.43587527319778,53.16847990209445,53.29475546848166,52.89826985758533,52.06259095463149,50.871286644846165,49.407924813455345,47.71336572431332,45.82846964127433,44.050342556423104,42.547967597729105,41.276789786303134,40.002460538858244,38.74687700033786,37.90196075738072,37.631913554406125,37.79258343442076,38.03328939854494,38.3733748895942,38.96128427661647,39.8192407252609,40.86188329598306,41.99553775964387,43.25563081333652,44.340166113025155,45.0943420141997,45.64454273995776
SC1301AA,245.69178917199298,28.108882367300893,30.027587028413954,31.390878963738643,32.25392817005513,32.671904644143595,32.69997838278413,32.393319382756964,31.807097640842215,30.99648315382005,30.016645918470616,28.895073229241383,27.659252380579712,26.502766880929478,25.536152131736294,24.731530022782138,23.93270498725182,23.149577672326647,22.663664822781186,22.592992432260615,22.829239746415723,23.112254541134938,23.45350068990002,23.960582591986757,24.647765034174995,25.449195698416297,26.294592989313646,27.209815837264063,27.95887725937366,28.42068980842829,28.69237096495633,26.752173860037598,28.49331672355545,29.76248613992334,30.604690890103516,31.064939755058173,31.18824151574957,31.01960495313991,30.604038848191408,29.986551981866302,29.212153135126822,28.302337121355578,27.278598753935206,26.303516651725914,25.4691275308491,24.749898269528224,24.021094082796598,23.299063991165134,22.772115577852666,22.519063177144446,22.475422321069168,22.4809589403986,22.54739752861251,22.745084498608012,23.08639554312219,23.534854755377683,24.04844978214495,24.64379018961185,25.194838464426947,25.63711031310555,26.02499400844572,54.861056227338494,58.5209037519694,61.15336510366198,62.858619060158645,63.73684439920177,63.888219898533706,63.412924335896875,62.41113648903362,60.98303513568635,59.22879905359744,57.19741035059696,54.937851134514915,52.80628353265539,51.005279662585394,49.48142829231036,47.95379907004842,46.448641663491784,45.43578040063385,45.11205560940506,45.30466206748489,45.59321348153354,46.00089821851253,46.70566709059477,47.73416057729719,48.984050453793984,50.3430427714586,51.85360602687591,53.15371572380061,54.05780012153384,54.71736497340205
SC1402AB,1202.2342929505999,26.87864394458977,28.713372863482714,30.016997748483032,30.842273976404297,31.241956924060066,31.268801968263908,30.97556448582937,30.41499985357004,29.639863448299465,28.702910646831214,27.63042571244829,26.448692908433713,25.342823179253816,24.41851412878324,23.64910779324393,22.88524481332301,22.136392510890996,21.67174653747685,21.60416726624973,21.830074795663396,22.100702934825463,22.427013822501927,22.91190234456065,23.569008958375488,24.335363498735486,25.14376038557298,26.018926785922122,26.73520411465177,27.17680453819642,27.436595016461723,25.58131422250115,27.246252724725686,28.459874580334805,29.2652186768017,29.70532390159957,29.823229142201633,29.66197328608106,29.26459522071104,28.674133833564785,27.933628012115488,27.06363180812298,26.08469927334711,25.15229347382785,24.35442296846509,23.66667213759197,22.969765444552888,22.279336366972302,21.775450841566897,21.533473739793884,21.49174288386704,21.497037159511482,21.560567911544506,21.749602726438717,22.07597565999036,22.50480723328293,22.99592382675407,23.56520806249672,24.092138681512996,24.51505365840786,24.885960868695353,52.45995816709092,55.9596255882084,58.476872328817834,60.107492653205995,60.94728082565963,61.09203111046554,60.63753777191043,59.67959507428108,58.313997281864246,56.636538658946705,54.69405752057127,52.533392181780826,50.495116653081666,48.77293709724833,47.3157799308359,45.8550102578759,44.4157288778633,43.44719737904374,43.13764100604361,43.32181767953044,43.59774009433694,43.98758173404643,44.66150507099937,45.64498461836585,46.840170732018414,48.13968421232705,49.58413484841884,50.827342796164764,51.69185819660429,52.32255588515707
SC1304AC,827.2709290212401,38.827839220487846,41.47821695226418,43.361382537782106,44.553544334590406,45.13091070023774,45.169689992272865,44.74609056824447,43.93632078570128,42.81658900219201,41.46310357526537,39.91383372215028,38.20674866007559,36.60925244818919,35.27403172467942,34.16257742613553,33.05913084030156,31.97736809684046,31.306158692729596,31.208536300969232,31.534873455131144,31.92581225966222,32.397188186323696,33.097639179682766,34.04686972001793,35.153915560269375,36.32169412850143,37.58592532558441,38.62063158322574,39.25855032224656,39.63383352110385,36.95376754112225,39.358872572839175,41.11202322834728,42.275391800880485,42.91115058367258,43.08147186995755,42.84852795296917,42.27449112594137,41.42153368210799,40.35182791470295,39.09506540535691,37.680937735700596,36.334020756983726,35.18144818564649,34.187950180113305,33.18122597744463,32.18385908432006,31.455965726745134,31.106415059459195,31.04613230442999,31.05378021602626,31.145554267942853,31.418626581489985,31.890092167615837,32.50956549758905,33.219013336253134,34.04137909606693,34.8025624851942,35.41348895601033,35.9492870478034,75.78160676161009,80.83708952510335,84.47340576612939,86.82893613547088,88.04206128391033,88.25116186223042,87.59461852121365,86.21081191164265,84.23812268430001,81.81493148996833,79.00889912750719,75.88768639577619,72.94327320517291,70.4554799103259,68.35052760624883,66.2403568177462,64.16122718116053,62.76212441947473,62.314951360428424,62.58100575956114,62.97959247568848,63.542742454266545,64.51626576117275,65.93696188763377,67.66348105785843,69.54070746475456,71.62730442165135,73.42319406841995,74.6720392782569,75.58312056890725
SC1503AE,596.14789705594,27.924321569579714,29.830428282990976,31.1847690377682,32.04215159188208,32.45738370330333,32.485273130002604,32.18062762995062,31.598254961118073,30.79296288147565,29.819559148994042,28.705350578629908,27.477643985339913,26.32875184216491,25.368483793103614,24.569144767084673,23.77556474840637,22.997579379451253,22.514856996130945,22.44464864457847,22.679344792985965,22.960501350617474,23.299506920266243,23.803259377706148,24.485929846632548,25.282098389923593,26.121944879305335,27.031158459484494,27.775301603138338,28.2340819067954,28.503979193675438,26.576521340572935,28.306231955796523,29.5670680784285,30.403742963522635,30.860969866132695,30.983462041312404,30.815932744115546,30.40309522959586,29.78966275280713,29.020348568803076,28.116506358480493,27.099489802736112,26.13081002740869,25.30189943586597,24.587392560690724,23.86337362999923,23.146084316849766,22.622595786273532,22.371204883158246,22.327850542414208,22.333350781357318,22.399353109276312,22.59574206510783,22.934812090969086,23.380326770937433,23.890549587404724,24.48198105241059,25.029411199164375,25.468779128682595,25.854116007673728,54.50084291015265,58.1366602387875,60.7518371161967,62.44589455540472,63.31835356943603,63.468735171315004,62.99656037406616,62.001350190713936,60.58262563428278,58.83990771779712,56.8218569371104,54.577133788076026,52.4595618695736,50.670383228969584,49.156537327775396,47.6389383784056,46.14366369630102,45.13745278240448,44.81585352773672,45.00719533540017,45.29385213197479,45.69886002954256,46.39900144281398,47.42074193760163,48.66242516086103,50.01249446671006,51.51313951189508,52.80471280230272,53.702861035477994,54.358095201349165
SC1305AR,715.9930311363271,32.251941809260835,34.453450682938126,36.017682719826745,37.00793960434205,37.48752302089935,37.51973465391402,37.167876187801404,36.49524930697682,35.56515569585562,34.44089703885315,33.154012072288936,31.736039532482536,30.409095844328302,29.300008588433162,28.376790604925073,27.46022414191954,26.5616691361069,26.00413601052756,25.92304699695106,26.194115588521935,26.518844871437537,26.91038841824531,27.492210784125334,28.28067928521632,29.2002354187965,30.170238565349532,31.220359087991646,32.079827102708734,32.60970768527976,32.92143278409233,30.695263606649814,32.69303924094153,34.14927571560451,35.11561580307789,35.64370227580078,35.785177906212255,35.5916854667515,35.114867729857615,34.40636746796971,33.51782745352691,32.473910690569966,31.299280183139537,30.180477545666804,29.223105087387665,28.39786627554605,27.56164125734576,26.733188790381025,26.12857172131545,25.8382210838795,25.788147837579263,25.794500495791418,25.870731660962058,26.09755634510511,26.489174340605693,27.003733431875688,27.593028916633163,28.27611850216396,28.908387587213618,29.415847323203202,29.860902452004055,62.947205415910645,67.14648992387966,70.16695843543125,72.12355540741993,73.13122529670014,73.30491256012627,72.7595616545529,71.61011703683442,69.97152316382534,67.95872449238007,65.6279227628589,63.03531971562207,60.58957338999511,58.523113675820824,56.77465688047113,55.021865399265295,53.29485792648792,52.13270773184301,51.76126808083056,51.9822634261012,52.313345367228955,52.78112007920737,53.589767129230445,54.76985362582201,56.20396885067218,57.763267481982695,59.49647759015561,60.98821468992235,62.02555500848296,62.78233523609639
SC1109BA,444.412909308199,17.768946739289184,18.981850258655857,19.843651255033915,20.389225279889995,20.653447884690753,20.671194620902828,20.477341039992865,20.10676269342749,19.594335132673372,18.974933909197148,18.26593503500223,17.484714522092045,16.753645619249347,16.142602956867222,15.63396346802265,15.128988580781225,14.633936959987881,14.326768590217831,14.282093256717923,14.43143631162644,14.61034329034389,14.826061048001058,15.146611380964526,15.581011728361258,16.08763374495507,16.622049136126044,17.200604548490045,17.674121501258018,17.966054920470715,18.13779733833969,16.911307440873202,18.01196580624392,18.814267539041108,19.346664808617906,19.63760978432745,19.715554635522892,19.608951531557373,19.34625264178404,18.955910135556024,18.46637618222647,17.89123866254092,17.244085457244893,16.627690178729598,16.100233573563397,15.645574945276607,15.18486355346143,14.728434389355769,14.39532551288902,14.235359161037193,14.207771680200095,14.211271598792065,14.253270513918983,14.378237724524727,14.593996500518909,14.877488693612811,15.20215629570484,15.578499000531439,15.92684255519212,16.206423396465187,16.451622916659712,34.680254180162386,36.993816064899775,38.65791879407502,39.7358900885079,40.2910576690182,40.386749256425716,40.08629257155024,39.45301533521153,38.550245268229396,37.44131009142362,36.15717369754315,34.72879997933694,33.38133579797895,32.24283653043062,31.279538413299257,30.313852134242655,29.36237134934365,28.72209410310685,28.517452417755116,28.639207991826535,28.821614889135954,29.079331561920043,29.524849105489253,30.175008228880166,30.96512243856788,31.824205431830883,32.779103549021485,33.60096405645014,34.1724783169359,34.5894202549994
SC1406BL,1206.0997690462,29.95312124694904,31.997713141970475,33.4504513871447,34.37012571186575,34.81552584552761,34.84544151752438,34.51866245724998,33.89397839409849,33.030179057463904,31.98605417674022,30.790894503670824,29.473990789998957,28.24162765337219,27.21159277848593,26.354178961782104,25.502942568844528,24.668433831161256,24.150639967656154,24.075330725884463,24.327078363871607,24.628661919873988,24.992297419583835,25.532649244999924,26.264918102061777,27.118931066453484,28.01979533277751,28.995066451942918,29.793274192428584,30.28538648787737,30.57489275729063,28.507398274251834,30.362778467141105,31.715218783624476,32.61268105439098,33.103127110129584,33.23451878152938,33.054817899279314,32.611986294068416,31.953985796585705,31.1287782375202,30.159268716943306,29.068362334926462,28.029304575246623,27.140170729827936,26.37375243750669,25.597131003820977,24.82772811801443,24.266206318003032,23.996550986748986,23.95004679998756,23.955946649670558,24.026744276422164,24.23740157755005,24.601106230574725,25.078989115780505,25.6262814096927,26.260682445520125,26.847885308974966,27.319174850070464,27.732507791733727,58.46051952120087,62.36049160911158,65.16567017076918,66.98280676625673,67.9186529556572,68.07996029905377,67.5734803565293,66.5059646881669,64.98416485404961,63.11483241426042,60.95016322061413,58.54235312492542,56.27093222861882,54.351763508313866,52.72793139928879,51.10007357266551,49.496161949175686,48.41684628565919,48.07188171263345,48.27712516385917,48.58460856954454,49.019041696006,49.770050822549976,50.8660243326365,52.197920182233986,53.646076742470214,55.25574889746304,56.64115950140355,57.604561337947835,58.30740054902436
SC1510BO,939.843956044066,25.817819917538845,27.580137314997682,28.83231184230005,29.625016771920077,30.008925376331835,30.034710928009485,29.75304669942711,29.21460596305881,28.470061991378707,27.570088056860897,26.53993105692273,25.404837888981458,24.34261370079524,23.45478451495178,22.71574447875479,21.98202901614915,21.26273180142057,20.81642409798515,20.751511999636968,20.968503609228172,21.22845083284376,21.54188316569916,22.007634516221184,22.638806988042514,23.37491567378638,24.151407414186036,24.992033463186118,25.680041346436866,26.104213051533804,26.35375033965117,24.571692208576493,26.170920301824946,27.33664393889906,28.11020338419074,28.53293890209187,28.64619075699436,28.491299213290095,28.10960453537096,27.542446987628864,26.8311668344557,25.99550691725614,25.055210077434868,24.15960369431985,23.393222878277392,22.73261562473776,22.0632138649642,21.400034068143245,20.916035474693626,20.683608516430738,20.64352464914319,20.64860996535423,20.709633328819365,20.891207469189297,21.204699387961732,21.61660619838839,22.088339815324556,22.635156019520718,23.14129018442028,23.547513909470972,23.90378246687647,50.389512126115335,53.75105761682263,56.16895578119911,57.73522015611081,58.5418642784237,58.680901685003846,58.24434591271721,57.324210498429764,56.01250897900757,54.4012548913166,52.53543797417887,50.460047966416326,48.50221739511509,46.84800739322917,45.44836010349255,44.04524288111335,42.66276586956381,41.73245957267878,41.435120516067705,41.61202825837136,41.87706079819799,42.251516494518526,42.898841985410485,43.84350637600424,44.99152187217477,46.23974722951059,47.62718948270684,48.82133153085715,49.651726961004776,50.25753280652764
SC1508BV,445.597004701855,30.734495851933737,32.83242427548758,34.323059584766646,35.26672513476023,35.7237442804576,35.75444037684811,35.41913677892102,34.778156841665606,33.89182392007119,32.820461369127074,31.594124036383608,30.24286676939122,28.978355460333717,27.9214504790782,27.041669658297256,26.16822740617991,25.311949175548595,24.780647832226837,24.70337402809867,24.961688904213997,25.271139747917733,25.644261259555904,26.198709022700868,26.95008027714496,27.82637152665855,28.75073626990316,29.751448888766703,30.570479146110927,31.075428967106262,31.37248745944494,29.25105883686536,31.15483969792726,32.54256066533931,33.46343473377836,33.96667489792122,34.10149415244473,33.917105492025726,33.462721911341056,32.78755640506752,31.940821967881973,30.946021214067958,29.826656757909035,28.760493496048408,27.848165183949448,27.06175367510916,26.26487285496002,25.475398891294105,24.899228913211946,24.62253918876658,24.57482185158736,24.58087559673789,24.653520080590233,24.86967270698544,25.24286517914529,25.733214410734142,26.294783703923194,26.94573410835262,27.548255100214448,28.031838984513254,28.45595437746046,59.9855546887991,63.98726397341484,66.86562025010596,68.73015986853858,69.69041917837882,69.85593452929284,69.33624227094674,68.24087875300665,66.67938032513871,64.76128333700905,62.540145250451566,60.069523527300255,57.73884895638213,55.76961566302765,54.10342333340641,52.43310026113993,50.787348066842696,49.67987674543878,49.325913216865246,49.53651075580136,49.85201534465563,50.29778134014614,51.06838172968631,52.192945456290246,53.5595859373927,55.04551997382636,56.69718299711933,58.118734246325374,59.10726795161952,59.8284418369054
SC1311CA,1057.5614305121198,34.02416481102397,36.34664503679414,37.996830511532615,39.04150130244335,39.54743747673024,39.58141910159728,39.21022624424837,38.500638971887454,37.519437351718494,36.3334014509454,34.97580303975938,33.479913888351604,32.080055548989776,30.91002468290332,29.936076466257937,28.969145270824527,28.021215250450496,27.43304603912247,27.34750123374471,27.633464864438793,27.97603780373331,28.38909640429606,29.002889523935185,29.834683854532102,30.804769000351342,31.828073188108135,32.93589714965816,33.842592366731154,34.40158952859641,34.73044369962815,32.38194801570504,34.48950009826586,36.02575580310082,37.04519563879815,37.60230011394613,37.75154973713298,37.54742501694698,37.044406461976365,36.29697458080938,35.35960988203427,34.25833058525321,33.01915491006824,31.838874809998334,30.828895371604037,29.95831023651517,29.076135210412833,28.202159832894907,27.564319457501284,27.25801424181468,27.20518949846628,27.211891226041292,27.292311237066908,27.531599786519905,27.94473693916192,28.48757072437997,29.109247617125497,29.829872534799588,30.49688439406757,31.03222870488768,31.501739311164656,66.40611282672901,70.83614513506001,74.02258631463343,76.0866969412415,77.14973759067637,77.33296883873027,76.75765126119535,75.54504543386382,73.81641193252787,71.69301133297967,69.23413362501259,66.49906879841984,63.918930358988106,61.73892005450736,59.894386702773105,58.045280481237356,56.2233750833454,54.99736549662376,54.605515475559386,54.838654362905075,55.1879290297746,55.681407641362966,56.534489310455086,57.77942079369402,59.29233972473131,60.93732080523363,62.76576968445775,64.33947676079873,65.43381823348409,66.2321830107928
SC1512GL,685.287712444841,26.29995598651783,28.095183838918906,29.370742141291547,30.178250465735797,30.56932838435171,30.59559546923931,30.30867129249866,29.760175426229775,29.001727442532726,28.084946913507522,27.035552210533588,25.87926170499025,24.79720097258091,23.89279198684692,23.139950717726318,22.392533456742754,21.659803699743733,21.205161400091644,21.139037081670764,21.36008088710311,21.624882483792344,21.944167996656958,22.418617029380876,23.061576370012823,23.81143157429699,24.602423965907118,25.458748347282416,26.159604476988306,26.59169738906619,26.845894654118972,25.030557473218483,26.659650385498974,27.84714335143558,28.63514864522207,29.065778541052214,29.181145313119757,29.023361235618477,28.634538582742113,28.05678962868444,27.332226647639217,26.480961169683923,25.523104724895983,24.610773308050696,23.830080681574405,23.157136887311975,22.475234354805977,21.79966997829677,21.306632931745057,21.069865505135073,21.02903308868412,21.03421336946493,21.096376314270564,21.281341269600468,21.6006875121475,22.02028650218254,22.500829536426117,23.057857291305105,23.573443285429516,23.987253053033395,24.350174759864846,51.33051345973631,54.75483422441788,57.21788549272713,58.81339911095787,59.635106925403925,59.77674078235907,59.33203252811714,58.39471400897189,57.05851707121717,55.41717356114674,53.51651338021751,51.40236642988623,49.407974280631606,47.722872668421324,46.29708760503829,44.86776781154873,43.4594736780405,42.5117943318367,42.208902586805834,42.389113975787225,42.65909585325727,43.04054431092752,43.69995829898134,44.66226388216032,45.83171807647953,47.10325350233323,48.51660563858752,49.733047762417826,50.57895044209958,51.19606941398382
SC1413GM,1562.1908097796302,25.922302606429046,27.691751967970216,28.94899395061654,29.74490689761565,30.130369152215152,30.15625905766269,29.87345495720586,29.332835194092308,28.585278111569643,27.681662052885493,26.64733608752494,25.50764928497303,24.441126357290177,23.54970419524909,22.807673320809755,22.07098856811224,21.34878041387198,20.900666533997622,20.835491731038644,21.053361474883502,21.31436067161852,21.629061426523258,22.096697630110317,22.730424413743563,23.46951208775934,24.24914624229073,25.093174252703808,25.78396645988528,26.209854757756037,26.460401902303143,24.67113195410523,26.276831984285316,27.4472732035183,28.22396317657462,28.648409468224713,28.762119643239007,28.60660126638793,28.223361902441912,27.65390911617138,26.939750472346784,26.100708710739095,25.15660657111935,24.257375743255086,23.487893441915546,22.82461275687291,22.152501975122053,21.48663833365432,21.00068103613546,20.767313477894596,20.727067415365568,20.732173330754076,20.793443672940217,20.97575263614965,21.29051321415615,21.70408694627892,22.1777296020777,22.72675869645783,23.23494112684436,23.642808808511546,24.000519171300553,50.59343456053428,53.96858395225553,56.39626715413484,57.96887007419027,58.778778620439866,58.9183787009017,58.48005622359379,57.55619709653422,56.23918722774103,54.62141252523227,52.74804479826403,50.66425585609238,48.69850210054526,47.03759763716464,45.632286077682664,44.22349054323429,42.835418747526305,41.90134757013308,41.60280520893324,41.78042889024907,42.046534002372596,42.42250509946348,43.07245026625996,44.02093762789971,45.17359903403826,46.42687584436843,47.81993294916164,49.01890758672964,49.85266356626758,50.4609210736037
